"modelnum","iteration","formula","random_slope","predictor","snp","minAIC","avgbeta","avgP","pct_p0.05","avgAIC","pctConverged","pctBestAIC"
1,356,"fev1~snp+age+age_c2+time+time*snp","time","snp","snp_lb",-10935.5666299292,-0.037,0.24,43,-8978.7301,83,0
1,356,"fev1~snp+age+age_c2+time+time*snp","time","snp:time","snp_lb",-10935.5666299292,0.0042,0.062,63,-8978.7301,83,0
2,901,"fev1~snp+age+age_c2+time+time*snp","age","snp","snp_lb",-29484.3254564253,-0.0023,0.29,34,-28570.895,48,20.2
2,901,"fev1~snp+age+age_c2+time+time*snp","age","snp:time","snp_lb",-29484.3254564253,6.4e-05,0.4,14,-28570.895,48,20.2
3,901,"fev1~snp+age+age_c2+time+age*snp","age","snp","snp_lb",-29490.628037697,-0.04,0.27,36,-28574.405,50,79.8
3,901,"fev1~snp+age+age_c2+time+age*snp","age","snp:age","snp_lb",-29490.628037697,0.001,0.28,35,-28574.405,50,79.8
4,8,"fev1~snp+age+age_c2+time+age*snp","time","snp","snp_lb",-11066.1386708162,-0.15,0.0032,98,-9172.4136,86,0
4,8,"fev1~snp+age+age_c2+time+age*snp","time","snp:age","snp_lb",-11066.1386708162,0.0039,1.6e-06,100,-9172.4136,86,0
5,8,"fev1~snp+age+age_c2+time+age*snp+time*snp","time","snp","snp_lb",-11053.618192273,-0.15,0.0029,99,-9160.3744,83,0
5,8,"fev1~snp+age+age_c2+time+age*snp+time*snp","time","snp:age","snp_lb",-11053.618192273,0.0039,5.2e-06,100,-9160.3744,83,0
5,8,"fev1~snp+age+age_c2+time+age*snp+time*snp","time","snp:time","snp_lb",-11053.618192273,0.00042,0.57,1.8,-9160.3744,83,0
6,356,"fev1~snp+time+time*snp+age_baseline+age_c2_baseline","time","snp","snp_lb",-10951.9477140371,-0.037,0.24,43,-8982.3898,83,0
6,356,"fev1~snp+time+time*snp+age_baseline+age_c2_baseline","time","snp:time","snp_lb",-10951.9477140371,0.0042,0.062,64,-8982.3898,83,0
