"modelnum","iteration","formula","random_slope","predictor","snp","minAIC","avgbeta","avgP","pct_p0.05","avgAIC","pctConverged","pctBestAIC"
1,356,"fev1~snp+age+age_c2+time+time*snp","time","snp","snp_rd",-10938.6718601011,0.034,0.26,39,-8982.0324,79,0
1,356,"fev1~snp+age+age_c2+time+time*snp","time","snp:time","snp_rd",-10938.6718601011,-0.0059,0.014,94,-8982.0324,79,0
2,901,"fev1~snp+age+age_c2+time+time*snp","age","snp","snp_rd",-29497.7295378913,-0.0028,0.27,37,-28571.115,44,18.4
2,901,"fev1~snp+age+age_c2+time+time*snp","age","snp:time","snp_rd",-29497.7295378913,-4.9e-05,0.39,16,-28571.115,44,18.4
3,901,"fev1~snp+age+age_c2+time+age*snp","age","snp","snp_rd",-29502.1271843064,0.038,0.29,35,-28574.708,48,81.6
3,901,"fev1~snp+age+age_c2+time+age*snp","age","snp:age","snp_rd",-29502.1271843064,-0.0011,0.26,38,-28574.708,48,81.6
4,39,"fev1~snp+age+age_c2+time+age*snp","time","snp","snp_rd",-14146.4205865538,0.6,6.9e-121,100,-12614.89,77,0
4,39,"fev1~snp+age+age_c2+time+age*snp","time","snp:age","snp_rd",-14146.4205865538,-0.016,0,100,-12614.89,77,0
5,39,"fev1~snp+age+age_c2+time+age*snp+time*snp","time","snp","snp_rd",-14166.755404685,0.52,6e-60,100,-12629.032,77,0
5,39,"fev1~snp+age+age_c2+time+age*snp+time*snp","time","snp:age","snp_rd",-14166.755404685,-0.016,0,100,-12629.032,77,0
5,39,"fev1~snp+age+age_c2+time+age*snp+time*snp","time","snp:time","snp_rd",-14166.755404685,0.011,2.5e-05,100,-12629.032,77,0
6,356,"fev1~snp+time+time*snp+age_baseline+age_c2_baseline","time","snp","snp_rd",-10954.9096208313,0.034,0.26,40,-8985.7408,81,0
6,356,"fev1~snp+time+time*snp+age_baseline+age_c2_baseline","time","snp:time","snp_rd",-10954.9096208313,-0.0059,0.014,93,-8985.7408,81,0
